Date : 2026-01-06 23:23:00
Directory : c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\
Total : 127 files,  7651 codes, 187 comments, 1977 blanks, all 9815 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        127 |      7,651 |        187 |      1,977 |      9,815 |
+----------+------------+------------+------------+------------+------------+

| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Stopwatch.cpp                   | C++      |         72 |          2 |         24 |         98 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Stopwatch.h                     | C++      |         12 |          0 |          3 |         15 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\StoreManager.cpp                | C++      |        383 |          8 |        122 |        513 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\StoreManager.h                  | C++      |         14 |          0 |          5 |         19 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Game\Doom\GameClient_Doom.cpp             | C++      |        301 |         26 |         53 |        380 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Game\Doom\GameClient_Doom.h               | C++      |         37 |          2 |         11 |         50 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Game\Minecraft\GameClient.cpp             | C++      |        140 |         15 |         27 |        182 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Game\Minecraft\GameClient.h               | C++      |         39 |          0 |         11 |         50 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Game\StardewValleyCopy\GameClient_svc.cpp | C++      |         90 |          9 |         18 |        117 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Game\StardewValleyCopy\GameClient_svc.h   | C++      |         22 |          1 |          7 |         30 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\KeyboardCat\pitches.h                     | C++      |         91 |          0 |          1 |         92 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\KeyboardCat\play_keyboard.cpp             | C++      |         41 |          2 |         13 |         56 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\KeyboardCat\play_keyboardcat.h            | C++      |          4 |          0 |          2 |          6 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\BeaconSpam.cpp                    | C++      |         23 |          0 |          8 |         31 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\BeaconSpam.h                      | C++      |         15 |          0 |          4 |         19 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\EchoSniffer.cpp                   | C++      |         85 |          0 |         28 |        113 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\EchoSniffer.h                     | C++      |         15 |          0 |          4 |         19 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiConnect.cpp                   | C++      |        150 |         13 |         36 |        199 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiConnect.h                     | C++      |         16 |          0 |          5 |         21 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiHostpost.cpp                  | C++      |         96 |          0 |         35 |        131 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiHotspot.h                     | C++      |         13 |          0 |          5 |         18 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiScanner.cpp                   | C++      |        141 |          7 |         27 |        175 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiScanner.h                     | C++      |         13 |          0 |          5 |         18 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiSniffer.cpp                   | C++      |        309 |         40 |         83 |        432 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiSniffer.h                     | C++      |         14 |          0 |          5 |         19 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiStorm.cpp                     | C++      |         23 |          0 |          8 |         31 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiStorm.h                       | C++      |         15 |          0 |          4 |         19 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiTelnet.cpp                    | C++      |         92 |          0 |         25 |        117 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiTelnet.h                      | C++      |          6 |          0 |          2 |          8 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\WiFiApp\WiFiTelnetFunction.h              | C++      |         67 |          0 |         13 |         80 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\backapp.cpp                         | C++      |        139 |          0 |         35 |        174 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\backapp.h                           | C++      |         15 |          0 |          4 |         19 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\button.cpp                          | C++      |         24 |          0 |          4 |         28 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\button.h                            | C++      |          8 |          0 |          2 |         10 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\draw.cpp                            | C++      |         33 |          0 |         10 |         43 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\draw.h                              | C++      |          5 |          0 |          3 |          8 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\hardware\eeprom.cpp                 | C++      |         54 |          0 |         14 |         68 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\hardware\eeprom.h                   | C++      |         11 |          0 |          3 |         14 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\panic.cpp                           | C++      |         49 |          0 |         20 |         69 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\panic.h                             | C++      |         22 |          0 |          4 |         26 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\queuer.h                            | C++      |         33 |          0 |          9 |         42 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\regis.cpp                           | C++      |         70 |          0 |         21 |         91 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\regis.h                             | C++      |         12 |          0 |          4 |         16 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\service.cpp                         | C++      |        113 |          0 |         26 |        139 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\service.h                           | C++      |         15 |          0 |          5 |         20 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\supervisor.cpp                      | C++      |         22 |          0 |          6 |         28 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\supervisor.h                        | C++      |          4 |          0 |          2 |          6 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\ui_.h                               | C++      |         62 |          6 |         24 |         92 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\vkeyboard.cpp                       | C++      |        116 |          0 |         26 |        142 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\vkeyboard.h                         | C++      |         41 |          0 |          9 |         50 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\component\website.h                           | C++      |         72 |          0 |          6 |         78 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\config\config.h                               | C++      |         27 |          0 |          8 |         35 |
